Country Name,Population: total(1960),Population: total(1970),Population: total(1980),Population: total(1990),Population: total(2000),Population: total(2005),Population: total(2006),Population: total(2007),Population: total(2008),Population: total(2009),Population: total(2010),Population: total(2011),Population: total(2012),Population: total(2013),Population: total(2014),Population: total(2015),Population: total(2016),Population: total(2017)
Tunisia,4176266,5060397,6368167,8232797,9699197,10102482,10196136,10298087,10407336,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248,11532127
Turkey,27472331,34876267,43975921,53921699,63240121,67903406,68763405,69597281,70440032,71339185,72326914,73409455,74569867,75787333,77030628,78271472,79512426,80745020
Tuvalu,6104,7303,8052,9003,9420,10027,10137,10243,10340,10441,10531,10628,10725,10819,10908,11001,11097,11192
Tanzania,10074507,13605529,18683157,25459604,34178042,39410545,40634948,41923715,43270144,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201,57310019
Uganda,6788214,9446064,12549540,17438907,24039274,28543940,29550662,30590487,31663896,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965,42862958
Ukraine,42662149,47086761,49968812,51892000,49175848,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45271947,45154029,45004645,44831159
Upper middle income,1150568959,1419934207,1715481307,2016620835,2260805982,2352105140,2369650785,2386824787,2404283410,2422393813,2440543075,2459175685,2478491686,2498184210,2517979764,2537437057,2556921923,2576202556
Uruguay,2538651,2809803,2915778,3109989,3321245,3325612,3331043,3339741,3350824,3362755,3374415,3385624,3396777,3408005,3419546,3431552,3444006,3456750
United States of America,180671000,205052000,227225000,249623000,282162411,295516599,298379912,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
Uzbekistan,8549493,12110028,15939744,20510000,24650400,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32387200
St. Vincent and the Grenadines,80949,90452,100505,107505,107898,108744,108907,109047,109165,109253,109315,109341,109328,109320,109357,109455,109643,109897
Venezuela,8146847,11587761,15343916,19861956,24488340,26784161,27239168,27691965,28141701,28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179,31977065
British Virgin Islands,8033,9803,11002,16461,20645,23168,23905,24731,25604,26447,27224,27901,28509,29056,29588,30113,30661,31196
Virgin Islands (U.S.),32500,63476,99636,103963,108642,108454,108371,108339,108399,108405,108358,108292,108191,108044,107884,107710,107510,107268
Vietnam,32670629,43407287,54372514,68209605,80285562,84308843,85094617,85889590,86707801,87565407,88472512,89436644,90451881,91497725,92544915,93571567,94569072,95540800
Vanuatu,63699,85389,115632,146634,185063,209370,214634,219953,225340,230785,236295,241871,247485,253142,258850,264603,270402,276244
World,3032160395,3685753341,4439337768,5288103214,6121682736,6520298763,6601476541,6683223772,6766296679,6849569339,6932869743,7014983968,7099557649,7185137526,7271322821,7357559450,7444157356,7530360149
Samoa,108646,143176,155557,162866,174610,179929,181094,182286,183526,184826,186205,187665,189194,190757,192290,193759,195125,196440
Kosovo,947000,1219000,1521000,1862000,1700000,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700
Yemen,5172135,6193810,8120497,12057039,17874725,20582927,21160534,21751605,22356391,22974929,23606779,24252206,24909969,25576322,26246327,26916207,27584213,28250420
South Africa,17456855,22839451,29760471,37560525,45728315,48820586,49364582,49887181,50412129,50970818,51584663,52263516,52998213,53767396,54539571,55291225,56015473,56717156
Zambia,3044846,4173928,5889230,8027253,10531221,12052156,12383446,12725974,13082517,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390,17094130
Zimbabwe,3747369,5175618,7164172,10183113,12222251,12940032,13124267,13329909,13558469,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362,16529904
