Country Name,Population: total(1960),Population: total(1970),Population: total(1980),Population: total(1990),Population: total(2000),Population: total(2005),Population: total(2006),Population: total(2007),Population: total(2008),Population: total(2009),Population: total(2010),Population: total(2011),Population: total(2012),Population: total(2013),Population: total(2014),Population: total(2015),Population: total(2016),Population: total(2017)
IDA & IBRD total,2299864225,2861878186,3535475763,4313726002,5072466718,5433668431,5506476109,5579375555,5653072135,5727963757,5803571023,5880131377,5957668177,6036113018,6114993204,6194062653,6273584648,6353204601
IDA total,382489740,493237182,640058157,842151196,1086410522,1223223216,1252059280,1281448739,1311425875,1342020282,1373548091,1405680382,1438116264,1471227953,1504977561,1539348171,1574352693,1609940669
IDA blend,123195063,158588589,211007189,282899816,361050467,403526930,412705870,422204235,432032769,442179341,452947421,463997812,474993526,486261860,497751634,509396383,521159047,533023458
Indonesia,87792515,114834780,147490365,181436821,211540429,226712730,229838202,232989141,236159276,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456,263991379
IDA only,259294677,334648593,429050968,559251380,725360055,819696286,839353410,859244504,879393106,899840941,920600670,941682570,963122738,984966093,1007225927,1029951788,1053193646,1076917211
Isle of Man,48442,55425,63551,68429,72554,76118,76914,77727,78534,79325,80072,80759,81406,82013,82590,83167,83737,84287
India,449480608,553578513,696783517,870133480,1053050912,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354,1339180127
Not classified,,,,,,,,,,,,,,,,,,
Ireland,2828600,2957250,3412800,3513974,3805174,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4813608
Iran,21906903,28514010,38668220,56226185,66131854,70421811,71227880,72031103,72845542,73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428,81162788
Iraq,7289761,9917983,13653356,17469005,23565413,27008426,27697912,28390433,29111417,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572,38274618
Iceland,175574,204438,228138,254826,281205,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,341284
Israel,2114020,2974000,3878000,4660000,6289000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8712400
Italy,50199700,53821850,56433883,56719240,56942108,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60551416
Jamaica,1628252,1875381,2163045,2424242,2656864,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299
Jordan,932257,1718913,2374422,3560582,5103130,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353
Japan,92500572,104345000,116782000,123537000,126843000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797
Kazakhstan,9714260,12757245,14518924,16348000,14883626,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037646
Kenya,8105440,11252492,16268990,23402507,31450483,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862
Kyrgyz Republic,2172300,2959900,3617400,4391200,4898400,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6201500
Cambodia,5722370,6994848,6692107,8973342,12152354,13270201,13474489,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373
Kiribati,41233,51178,59339,72412,84406,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398
St. Kitts and Nevis,51195,44885,43210,40834,45374,48611,49210,49783,50332,50886,51445,52006,52591,53169,53739,54288,54821,55345
South Korea,25012374,32240827,38123775,42869283,47008111,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201
Kuwait,269618,746767,1372318,2099615,2050741,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528
Latin America & Caribbean (excluding high income),184536470,245013878,314056110,387713894,459908706,492360617,498847473,505365856,511896377,518406797,524870761,531283625,537645733,543940758,550149862,556257851,562254848,568136842
Laos,2120896,2688428,3258144,4258472,5329304,5754026,5849356,5949787,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160
Lebanon,1804926,2297389,2605293,2703016,3235366,3986852,4057350,4086466,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668,6082357
Liberia,1120313,1416529,1888314,2097232,2884522,3261230,3375838,3512932,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823,4731906
Libya,1448417,2133526,3219466,4436661,5355751,5792688,5881435,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253,6374616
St. Lucia,89897,104160,117987,138185,156949,163714,165407,167288,169220,171022,172580,173832,174835,175660,176421,177206,178015,178844
Latin America & Caribbean,220434662,287361389,363543431,445044474,524829251,560673962,567821716,574994397,582179826,589349327,596478519,603537118,610547919,617495658,624335544,631062657,637663890,644137666
Least developed countries: UN classification,240742196,308486373,393279303,510827576,664804763,754118072,772488966,790978141,809730997,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925,1002485957
Low income,166502848,211385069,271925904,352473181,465631330,534172627,549135479,564514253,580229110,596172925,612274687,628504663,644901894,661550623,678572076,696058453,714022293,732448558
Liechtenstein,16495,21265,25866,28747,33286,34852,35095,35322,35541,35766,36003,36264,36545,36834,37127,37403,37666,37922
Sri Lanka,9874481,12485756,15035856,17329713,18781938,19524558,19670151,19810789,19945832,20075086,20198353,20315017,20425000,20585000,20771000,20966000,21203000,21444000
Lower middle income,934586665,1177647344,1489702291,1881674731,2280235216,2479864962,2519781995,2559728298,2599821177,2640211692,2681264749,2722672277,2764105969,2805845772,2847559084,2889349899,2931075528,2972642807
Low & middle income,2251658472,2808966620,3477109502,4250768747,5006672528,5366142729,5438568259,5511067338,5584333697,5658778430,5734082511,5810352625,5887499549,5965580605,6044110924,6122845409,6202019744,6281293921
Lesotho,851591,1033050,1310118,1603938,1868699,1949543,1965662,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339
Late-demographic dividend,1097220852,1340215315,1597224701,1851248918,2047187331,2116451896,2129839624,2142908325,2156164379,2169773889,2182871640,2196130364,2209708504,2223457388,2237241890,2250812795,2264568981,2278227192
Lithuania,2778550,3139689,3413202,3697838,3499536,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2827721
Luxembourg,313970,339171,364150,381850,436300,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,599449
Latvia,2120979,2359164,2511701,2663151,2367550,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1940740
"Macao SAR, China",167796,246195,238118,343935,427979,482559,493320,503823,514348,525313,536969,549439,562531,575841,588781,600942,612167,622567
St. Martin (French part),4279,5450,7580,30036,28384,27906,28414,28905,29376,29820,30235,30615,30959,31264,31530,31754,31949,32125
Morocco,12328532,16000008,20019847,24879136,28849621,30521070,30869346,31225881,31596855,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786,35739580
Monaco,22452,23484,26745,29439,32082,33793,34408,35111,35853,36534,37094,37497,37783,37971,38132,38307,38499,38695
Moldova,2544000,3044000,3396000,3696000,3639592,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549750
Madagascar,5099373,6576305,8716553,11598633,15766806,18336724,18880268,19433523,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551,25570895
Maldives,89887,115768,158385,223215,280384,318836,327371,336070,345054,354501,364511,375131,386203,397397,408247,418403,427756,436330
Middle East & North Africa,105488678,139083819,185843847,255989130,317129227,348956287,356287693,363996317,371999662,380192587,388376106,396573248,404783020,412953000,421030035,428974903,436738031,444322417
Mexico,38174112,52029861,69360871,85357874,101719673,108472228,110092378,111836346,113661809,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423,129163276
Marshall Islands,14662,20395,30576,47298,52159,52055,52078,52137,52218,52320,52425,52542,52663,52793,52898,52994,53066,53127
Middle income,2085155624,2597581551,3205183598,3898295566,4541041198,4831970102,4889432780,4946553085,5004104587,5062605505,5121807824,5181847962,5242597655,5304029982,5365538848,5426786956,5487997451,5548845363
Macedonia,1488667,1720800,1924197,1996228,2034819,2060272,2063145,2065458,2067378,2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206,2083160
Mali,5263733,5949045,7090126,8465188,10967690,12798763,13227064,13675606,14138216,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837,18541980
Malta,326550,302650,316645,354170,390087,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,465292
Myanmar,20986123,26381431,33369712,40626250,46095462,48482614,48846474,49171586,49479752,49800690,50155896,50553031,50986514,51448196,51924182,52403669,52885223,53370609
Middle East & North Africa (excluding high income),97837766,127942543,167755859,227903820,280955290,306595214,312079307,317721161,323531149,329488935,335581557,341822043,348195697,354641044,361077997,367449306,373719055,379901782
Montenegro,480579,512407,572608,606372,604950,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622471
Mongolia,955505,1278825,1689622,2184145,2397436,2526446,2558012,2591670,2628131,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398,3075647
Northern Mariana Islands,10035,13127,16920,42538,69094,63744,61688,59513,57431,55674,54424,53786,53718,54036,54468,54816,55023,55144
Mozambique,7388695,9161534,11848331,13247649,18067687,20923070,21547463,22188387,22846758,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476,29668834
Mauritania,858168,1148908,1534085,2030140,2709359,3130720,3220653,3312665,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018,4420184
Mauritius,659351,826000,966039,1058775,1186873,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613
Malawi,3618595,4603723,6163080,9437553,11376172,13039711,13429262,13840969,14271234,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575,18622104
Malaysia,8157106,10803978,13798125,18038321,23185608,25659393,26143566,26625845,27111069,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265,31624264
North America,198624409,226431000,251872670,277473326,312993944,327892753,331014940,334184023,337405012,340465736,343408819,346051624,348808615,351451876,354223012,356937591,359735880,362492702
Namibia,602544,780384,1012672,1414692,1899257,2032196,2055734,2079915,2106375,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713,2533794
New Caledonia,79000,112000,140050,170899,213230,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,272400,276550,280460
Niger,3388764,4510479,5988904,8012861,11352973,13618449,14132064,14668338,15228525,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987,21477348
Nigeria,45137812,55981400,73460724,95269988,122352009,138939478,142614094,146417024,150347390,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640,190886311
Nicaragua,1774699,2398096,3249910,4144565,5026796,5379328,5450211,5522106,5594506,5666581,5737723,5807820,5877108,5945747,6013997,6082035,6149928,6217581
Netherlands,11486631,13038526,14149800,14951510,15925513,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17132854
Norway,3581239,3875763,4085620,4241473,4490967,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5190239,5234519,5282223
Nepal,10063011,11997929,14902163,18749406,23740911,25640287,25940618,26214847,26475859,26741103,27023137,27327147,27649925,27985310,28323241,28656282,28982771,29304998
Nauru,4433,6496,7488,9155,10037,10114,10071,10002,9947,9945,10025,10057,10279,10821,11853,12475,13049,13649
New Zealand,2371800,2810700,3112900,3329800,3857700,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900
OECD members,791487664,895979621,991341533,1072793105,1160068208,1201387655,1210090990,1219114314,1228624922,1237366149,1245479028,1251781641,1259608786,1267734036,1276165062,1284497900,1292855641,1300865255
Oman,551740,723852,1154379,1812160,2267991,2511269,2582991,2662762,2759014,2882942,3041460,3237268,3464644,3711481,3960925,4199810,4424762,4636262
Other small states,9196324,11107495,13628831,17470899,20939372,23112789,23681565,24300791,24955735,25615419,26267053,26900149,27529595,28153079,28774019,29396503,30012500,30621014
Pakistan,44908293,58090759,78068144,107678614,138523285,153909667,157093993,160332974,163644603,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476,197015955
Panama,1132921,1519299,1978578,2471009,3030347,3330465,3391905,3453807,3516268,3579385,3643222,3707782,3772938,3838462,3903986,3969249,4034119,4098587
Peru,10061515,13341069,17359120,21826658,25914879,27610410,27949944,28292724,28641980,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839,32165485
Philippines,26273025,35804729,47396968,61947348,77991569,86274237,87809419,89293490,90751864,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222,104918090
Palau,9642,11480,12194,15088,19175,19906,20012,20116,20228,20342,20470,20599,20758,20920,21094,21288,21503,21729
Papua New Guinea,2010677,2527586,3304473,4313059,5572222,6314709,6470272,6627922,6787187,6947447,7108239,7269348,7430836,7592865,7755785,7919825,8084991,8251162
Poland,29637450,32664300,35574150,38110782,38258629,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37975841
Pre-demographic dividend,188636191,241027706,319174900,417158756,554097477,639876871,658586521,677788806,697549138,717959651,739082260,760942116,783505835,806705375,830442736,854646007,879292453,904399841
Puerto Rico,2358000,2718000,3206000,3537000,3810605,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473177,3406520,3337177
North Korea,11424176,14410400,17472140,20293054,22929075,23904167,24061097,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965
Portugal,8857716,8680431,9766312,9983218,10289898,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10293718
Paraguay,1902875,2474106,3180630,4213742,5302700,5795494,5882796,5966159,6047117,6127837,6209877,6293783,6379219,6465740,6552584,6639119,6725308,6811297
West Bank and Gaza,,,,1978248,2922153,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,4422143,4551566,4684777
Pacific island small states,865809,1152036,1420671,1694408,1964216,2072665,2098492,2126235,2155339,2184837,2214096,2242763,2271298,2300045,2329458,2358955,2388875,2419188
Post-demographic dividend,754705296,840843453,910110515,964601905,1020591853,1046610820,1052236684,1058174510,1064603304,1070107590,1075131208,1078064180,1082727404,1087610209,1092678876,1097735849,1102778565,1107374909
French Polynesia,78076,110495,151708,198375,237258,254886,257832,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208,283007
Qatar,47384,109514,223775,476445,592267,864863,1010382,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804,2639211
Romania,18406905,20250398,22242653,23201835,22442971,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19586539
Russia,119897000,130404000,139010000,148292000,146596557,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144495044
Rwanda,2933428,3754541,5140716,7235798,8025703,8991735,9206580,9447402,9708169,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508,12208407
